ROHC/CO,1.4,1.5,1.6,1.7,1.8,1.9,2,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,2.9,3,3.1,3.2,3.3,3.4,3.5
2.0,"2.0, 1.4, 815208.0","2.0, 1.5, 815208.0","2.0, 1.6, 815208.0","2.0, 1.7, 815208.0","2.0, 1.8, 815208.0","2.0, 1.9, 815208.0","2.0, 2, 815208.0","2.0, 2.1, 815208.0","2.0, 2.2, 815208.0","2.0, 2.3, 815208.0","2.0, 2.4, 815208.0","2.0, 2.5, 815208.0","2.0, 2.6, 815208.0","2.0, 2.7, 815208.0","2.0, 2.8, 815208.0","2.0, 2.9, 815208.0","2.0, 3, 815208.0","2.0, 3.1, 815208.0","2.0, 3.2, nan","2.0, 3.3, nan","2.0, 3.4, nan","2.0, 3.5, nan"
1.9,"1.9, 1.4, 815208.0","1.9, 1.5, 815208.0","1.9, 1.6, 815208.0","1.9, 1.7, 815208.0","1.9, 1.8, 815208.0","1.9, 1.9, 815208.0","1.9, 2, 815208.0","1.9, 2.1, 815208.0","1.9, 2.2, 815208.0","1.9, 2.3, 815208.0","1.9, 2.4, 815208.0","1.9, 2.5, 815208.0","1.9, 2.6, 815208.0","1.9, 2.7, 815208.0","1.9, 2.8, 815208.0","1.9, 2.9, 815208.0","1.9, 3, 815208.0","1.9, 3.1, 815208.0","1.9, 3.2, nan","1.9, 3.3, nan","1.9, 3.4, nan","1.9, 3.5, nan"
1.8,"1.8, 1.4, 815208.0","1.8, 1.5, 815208.0","1.8, 1.6, 815208.0","1.8, 1.7, 815208.0","1.8, 1.8, 815208.0","1.8, 1.9, 815208.0","1.8, 2, 815208.0","1.8, 2.1, 815208.0","1.8, 2.2, 815208.0","1.8, 2.3, 815208.0","1.8, 2.4, 815208.0","1.8, 2.5, 815208.0","1.8, 2.6, 815208.0","1.8, 2.7, 815208.0","1.8, 2.8, 815208.0","1.8, 2.9, 815208.0","1.8, 3, 815208.0","1.8, 3.1, 815208.0","1.8, 3.2, nan","1.8, 3.3, nan","1.8, 3.4, nan","1.8, 3.5, nan"
1.7,"1.7, 1.4, 815208.0","1.7, 1.5, 815208.0","1.7, 1.6, 815208.0","1.7, 1.7, 815208.0","1.7, 1.8, 815208.0","1.7, 1.9, 815208.0","1.7, 2, 815208.0","1.7, 2.1, 815208.0","1.7, 2.2, 815208.0","1.7, 2.3, 815208.0","1.7, 2.4, 815208.0","1.7, 2.5, 815208.0","1.7, 2.6, 815208.0","1.7, 2.7, 815208.0","1.7, 2.8, 815208.0","1.7, 2.9, 815208.0","1.7, 3, 815208.0","1.7, 3.1, 815208.0","1.7, 3.2, nan","1.7, 3.3, nan","1.7, 3.4, nan","1.7, 3.5, nan"
1.6,"1.6, 1.4, 815208.0","1.6, 1.5, 815208.0","1.6, 1.6, 815208.0","1.6, 1.7, 815208.0","1.6, 1.8, 815208.0","1.6, 1.9, 815208.0","1.6, 2, 815208.0","1.6, 2.1, 815208.0","1.6, 2.2, 815208.0","1.6, 2.3, 815208.0","1.6, 2.4, 815208.0","1.6, 2.5, 815208.0","1.6, 2.6, 815208.0","1.6, 2.7, 815208.0","1.6, 2.8, 815208.0","1.6, 2.9, 815208.0","1.6, 3, 815208.0","1.6, 3.1, 29.6","1.6, 3.2, nan","1.6, 3.3, nan","1.6, 3.4, nan","1.6, 3.5, nan"
1.5,"1.5, 1.4, 815208.0","1.5, 1.5, 815208.0","1.5, 1.6, 815208.0","1.5, 1.7, 815208.0","1.5, 1.8, 815208.0","1.5, 1.9, 815208.0","1.5, 2, 815208.0","1.5, 2.1, 815208.0","1.5, 2.2, 815208.0","1.5, 2.3, 815208.0","1.5, 2.4, 815208.0","1.5, 2.5, 815208.0","1.5, 2.6, 815208.0","1.5, 2.7, 815208.0","1.5, 2.8, 815208.0","1.5, 2.9, 815208.0","1.5, 3, 815208.0","1.5, 3.1, 815208.0","1.5, 3.2, nan","1.5, 3.3, nan","1.5, 3.4, nan","1.5, 3.5, nan"
1.4,"1.4, 1.4, 0.5","1.4, 1.5, 815208.0","1.4, 1.6, 815208.0","1.4, 1.7, 815208.0","1.4, 1.8, 815208.0","1.4, 1.9, 815208.0","1.4, 2, 25.1","1.4, 2.1, 815208.0","1.4, 2.2, 815208.0","1.4, 2.3, 815208.0","1.4, 2.4, 815208.0","1.4, 2.5, 815208.0","1.4, 2.6, 815208.0","1.4, 2.7, 815208.0","1.4, 2.8, 815208.0","1.4, 2.9, 30.0","1.4, 3, 815208.0","1.4, 3.1, 815208.0","1.4, 3.2, nan","1.4, 3.3, nan","1.4, 3.4, nan","1.4, 3.5, nan"
1.3,"1.3, 1.4, 0.5","1.3, 1.5, 815208.0","1.3, 1.6, 815208.0","1.3, 1.7, 815208.0","1.3, 1.8, 815208.0","1.3, 1.9, 815208.0","1.3, 2, 25.0","1.3, 2.1, 815208.0","1.3, 2.2, 815208.0","1.3, 2.3, 815208.0","1.3, 2.4, 815208.0","1.3, 2.5, 815208.0","1.3, 2.6, 815208.0","1.3, 2.7, 815208.0","1.3, 2.8, 815208.0","1.3, 2.9, 815208.0","1.3, 3, 815208.0","1.3, 3.1, 815208.0","1.3, 3.2, nan","1.3, 3.3, nan","1.3, 3.4, nan","1.3, 3.5, nan"
1.2,"1.2, 1.4, 0.8","1.2, 1.5, 815208.0","1.2, 1.6, 815208.0","1.2, 1.7, 815208.0","1.2, 1.8, 815208.0","1.2, 1.9, 815208.0","1.2, 2, 25.0","1.2, 2.1, 815208.0","1.2, 2.2, 31.8","1.2, 2.3, 815208.0","1.2, 2.4, 815208.0","1.2, 2.5, 815208.0","1.2, 2.6, 815208.0","1.2, 2.7, 815208.0","1.2, 2.8, 815208.0","1.2, 2.9, 815208.0","1.2, 3, 815208.0","1.2, 3.1, 815208.0","1.2, 3.2, nan","1.2, 3.3, nan","1.2, 3.4, nan","1.2, 3.5, nan"
1.1,"1.1, 1.4, 1.3","1.1, 1.5, 815208.0","1.1, 1.6, 815208.0","1.1, 1.7, 815208.0","1.1, 1.8, 815208.0","1.1, 1.9, 815208.0","1.1, 2, 25.0","1.1, 2.1, 815208.0","1.1, 2.2, 31.9","1.1, 2.3, 815208.0","1.1, 2.4, 815208.0","1.1, 2.5, 815208.0","1.1, 2.6, 815208.0","1.1, 2.7, 31.1","1.1, 2.8, 815208.0","1.1, 2.9, 815208.0","1.1, 3, 815208.0","1.1, 3.1, 815208.0","1.1, 3.2, nan","1.1, 3.3, nan","1.1, 3.4, nan","1.1, 3.5, nan"
